pregunta,opcion1,opcion2,opcion3,opcion4,respuesta,penalizacion
"¿Cuál fue el primer amor platónico de la novia?,""Un profesor"",""Un actor famoso"",""Un vecino"",""Un cantante pop"",1,""¡Haz una imitación dramática de una escena romántica!"""
"¿Qué es lo más loco que ha hecho por amor?,""Viajar sin avisar"",""Tatuarse iniciales"",""Escribir una canción"",""Llamar 100 veces en un día"",0,""¡Haz una declaración de amor a una silla!"""
"¿Quién fue su peor cita y por qué?,""El que habló solo de sí mismo"",""El que llegó tarde"",""El que olvidó su nombre"",""El que trajo a su mamá"",3,""¡Cuenta tu peor cita en 30 segundos!"""
"¿Qué canción no puede faltar en su playlist de fiesta?,""'Single Ladies'"",""'Despacito'"",""'Tusa'"",""'Livin' la Vida Loca'"",2,""¡Baila 30 segundos sin música!"""
"¿Cuál es su bebida favorita para celebrar?,""Champagne"",""Margarita"",""Fernet con cola"",""Gin tonic"",2,""¡Brinda con una bebida inventada por el grupo!"""
"¿Qué prenda nunca usaría en su luna de miel?,""Pijama de franela"",""Crocs"",""Camisa de su ex"",""Medias con agujeros"",0,""¡Haz un desfile con ropa ridícula!"""
"¿Qué parte de la boda le emociona más?,""La entrada"",""El vals"",""La comida"",""La noche de bodas"",0,""¡Haz una entrada triunfal al estilo telenovela!"""
"¿Cuál es su apodo más vergonzoso?,""Chanchita"",""Bubu"",""Pochi"",""Tortuguita"",3,""¡Camina como tortuga por 1 minuto!"""
"¿Qué hábito extraño tiene al dormir?,""Habla dormida"",""Abraza una almohada"",""Ronca como oso"",""Duerme con los ojos entreabiertos"",2,""¡Haz el sonido de un animal dormido!"""
"¿Qué haría si se pierde el vestido de novia el día antes?,""Llora sin parar"",""Improvisa con cortinas"",""Se casa en pijama"",""Lo busca por toda la ciudad"",1,""¡Haz un desfile con papel higiénico!"""
"¿Qué celebridad elegiría para una noche de pasión?,""Ryan Gosling"",""Maluma"",""Brad Pitt"",""Pedro Pascal"",3,""¡Haz una mirada seductora a la cámara imaginaria!"""
"¿Qué es lo primero que haría si se despierta siendo hombre?,""Se mira al espejo"",""Va al baño"",""Se toma selfies"",""Se prueba ropa masculina"",0,""¡Actúa como hombre por 1 minuto!"""
"¿Qué objeto no puede faltar en su bolso?,""Labial"",""Perfume"",""Snacks"",""Cepillo de pelo"",0,""¡Maquíllate sin espejo!"""
"¿Cuál es su fantasía romántica más secreta?,""Bajo la lluvia"",""En la playa"",""En un avión"",""En una biblioteca"",1,""¡Haz una escena romántica con sombrero playero!"""
"¿Qué haría si se encuentra a su ex en la luna de miel?,""Lo ignora"",""Lo saluda con cortesía"",""Le presume su felicidad"",""Se va del lugar"",2,""¡Presume tu felicidad con una pose triunfal!"""
"¿Qué parte del cuerpo le gusta más de su pareja?,""Ojos"",""Manos"",""Espalda"",""Sonrisa"",3,""¡Haz tu mejor sonrisa falsa!"""
"¿Qué película romántica la hace llorar siempre?,""Titanic"",""El diario de una pasión"",""Ghost"",""Bajo la misma estrella"",1,""¡Actúa una escena triste con dramatismo!"""
"¿Qué haría si se le olvida el nombre de su esposo en el altar?,""Lo inventa"",""Lo llama 'amor'"",""Se ríe nerviosa"",""Se desmaya"",1,""¡Haz una escena de boda improvisada!"""
"¿Qué haría si su suegra se aparece en la noche de bodas?,""La echa con cariño"",""La invita a quedarse"",""Finge estar dormida"",""Se escapa por la ventana"",0,""¡Haz una escena de telenovela con suegra invasora!"""
"¿Qué consejo le daría a alguien que está por casarse?,""Ten paciencia"",""Ríe mucho"",""No olvides tu esencia"",""Hazlo solo si estás segura"",2,""¡Da un consejo sabio con voz de gurú!"""
